dataset_group,condition,attribute_1,attribute_2,spearman_rho,signed_correlation_percent,absolute_correlation_percent,rho_squared_percent
covid,Real_train,idade,sexo,0.15676807639874304,15.676807639874305,15.676807639874305,2.4576229777762135
covid,Real_train,idade,etilismo,-0.22408596613346968,-22.40859661334697,22.40859661334697,5.021452021797052
covid,Real_train,idade,tabagismo,0.10637038928862741,10.63703892886274,10.63703892886274,1.1314659717414142
covid,Real_train,idade,motivo_cancer,-0.10202446435025944,-10.202446435025944,10.202446435025944,1.040899132595736
covid,Real_train,idade,motivo_msk,0.02554233793353538,2.554233793353538,2.554233793353538,0.06524110271109204
covid,Real_train,idade,motivo_digestivo2,0.027781294466551493,2.778129446655149,2.778129446655149,0.07718003222372447
covid,Real_train,idade,motivo_cardio2,0.22794659736437142,22.794659736437143,22.794659736437143,5.1959651249994865
covid,Real_train,idade,motivo_procedimentos2,-0.07185650176905045,-7.185650176905045,7.185650176905045,0.5163356846485551
covid,Real_train,idade,motivo_lesao2,-0.04118552644348313,-4.118552644348314,4.118552644348314,0.16962475884268483
covid,Real_train,idade,motivo_respiratorio,-0.10407773311463911,-10.407773311463911,10.407773311463911,1.0832174530282046
covid,Real_train,idade,motivo_neuro,-0.04017065942199558,-4.017065942199558,4.017065942199558,0.16136818783979626
covid,Real_train,idade,motivo_pele,-0.03051121709785091,-3.0511217097850913,3.0511217097850913,0.09309343687921898
covid,Real_train,idade,motivo_genitourinaria,0.07651210238921788,7.651210238921788,7.651210238921788,0.5854101812018161
covid,Real_train,idade,motivo_dm,0.011144137310461776,1.1144137310461777,1.1144137310461777,0.012419179639442625
covid,Real_train,idade,motivo_mental_subst,-0.15988226567614167,-15.988226567614166,15.988226567614166,2.556233887773635
covid,Real_train,idade,motivo_infec2,-0.021779395905948212,-2.1779395905948213,2.1779395905948213,0.047434208602803375
covid,Real_train,idade,motivo_propedeutica,-0.08804514514884758,-8.804514514884758,8.804514514884758,0.7751947584281638
covid,Real_train,idade,n_comorbidades,0.4651836565953231,46.518365659532314,46.518365659532314,21.639583436339553
covid,Real_train,idade,comorb_hipertensao,0.46268205772396576,46.26820577239658,46.26820577239658,21.407468653968316
covid,Real_train,idade,comorb_ic,0.14178424453121688,14.178424453121687,14.178424453121687,2.0102771997287903
covid,Real_train,idade,comorb_dac,0.17314607826124612,17.31460782612461,17.31460782612461,2.9979564417249565
covid,Real_train,idade,comorb_fibrilacao,0.17911273308447184,17.911273308447186,17.911273308447186,3.2081371152989258
covid,Real_train,idade,comorb_avc,0.1694557878395526,16.94557878395526,16.94557878395526,2.871526403232346
covid,Real_train,idade,comorb_dpoc,0.23080958501335883,23.080958501335882,23.080958501335882,5.327306453403891
covid,Real_train,idade,comorb_asma,0.02045459717694465,2.0454597176944653,2.0454597176944653,0.04183905456710721
covid,Real_train,idade,comorb_dm,0.21279872260530128,21.279872260530126,21.279872260530126,4.528329634244796
covid,Real_train,idade,comorb_obesidade,-0.061237874894599045,-6.123787489459905,6.123787489459905,0.3750077321606564
covid,Real_train,idade,comorb_drc,0.06906715920657838,6.906715920657838,6.906715920657838,0.4770272480866845
covid,Real_train,idade,comorb_cancer,0.04185124331393608,4.185124331393608,4.185124331393608,0.17515265669222796
covid,Real_train,idade,comorb_reumatologica,0.03545412603462293,3.5454126034622933,3.5454126034622933,0.12569950528789275
covid,Real_train,idade,comorb_cirrose,-0.018379794656883088,-1.8379794656883088,1.8379794656883088,0.03378168516291881
covid,Real_train,idade,comorb_hiv,-0.1908636714765205,-19.08636714765205,19.08636714765205,3.6428941089497147
covid,Real_train,idade,obito,0.2185123545719867,21.85123545719867,21.85123545719867,4.774764910059363
covid,Real_train,sexo,etilismo,-0.2994041034538447,-29.94041034538447,29.94041034538447,8.964281716500055
covid,Real_train,sexo,tabagismo,-0.09381980594295411,-9.381980594295412,9.381980594295412,0.8802155987173568
covid,Real_train,sexo,motivo_cancer,0.06456827332138806,6.456827332138807,6.456827332138807,0.4169061919705474
covid,Real_train,sexo,motivo_msk,-0.06514285584156314,-6.514285584156314,6.514285584156314,0.42435916671946766
covid,Real_train,sexo,motivo_digestivo2,-0.009834288867738152,-0.9834288867738152,0.9834288867738152,0.009671323753411855
covid,Real_train,sexo,motivo_cardio2,0.10481185463584242,10.481185463584241,10.481185463584241,1.0985524872204961
covid,Real_train,sexo,motivo_procedimentos2,0.09293066012885598,9.293066012885598,9.293066012885598,0.8636107591984943
covid,Real_train,sexo,motivo_lesao2,-0.0577504097232119,-5.77504097232119,5.77504097232119,0.3335109823198848
covid,Real_train,sexo,motivo_respiratorio,-0.0032913536314704847,-0.3291353631470485,0.3291353631470485,0.0010833008727393948
covid,Real_train,sexo,motivo_neuro,-0.03938633211628517,-3.938633211628517,3.938633211628517,0.15512831575743166
covid,Real_train,sexo,motivo_pele,-0.005608034076239393,-0.5608034076239393,0.5608034076239393,0.003145004620026222
covid,Real_train,sexo,motivo_genitourinaria,-0.06818729839510651,-6.818729839510651,6.818729839510651,0.4649507662423295
covid,Real_train,sexo,motivo_dm,-0.07941012970934501,-7.9410129709345005,7.9410129709345005,0.6305968700454999
covid,Real_train,sexo,motivo_mental_subst,0.0022323374437229144,0.22323374437229143,0.22323374437229143,0.0004983330462647356
covid,Real_train,sexo,motivo_infec2,-0.01576978953377614,-1.5769789533776142,1.5769789533776142,0.02486862619395955
covid,Real_train,sexo,motivo_propedeutica,0.026786316889734124,2.6786316889734123,2.6786316889734123,0.07175067725172556
covid,Real_train,sexo,n_comorbidades,0.23068999453998,23.068999453998,23.068999453998,5.321787358085599
covid,Real_train,sexo,comorb_hipertensao,0.23509745755187464,23.509745755187463,23.509745755187463,5.52708145473555
covid,Real_train,sexo,comorb_ic,0.14515078554891192,14.515078554891192,14.515078554891192,2.106875054546622
