dataset_group,scale,n,shapiro_W,shapiro_p,levene_stat,levene_p,breusch_pagan_LM,breusch_pagan_p,normality_flag_p_lt_0_05,heteroscedasticity_flag_p_lt_0_05
covid,raw,20,0.9404552492645935,0.2445757342450379,0.2773207851269013,0.8409216975299767,6.87960631148319,0.4415220619130731,False,False
vigitel,raw,20,0.9750843723673794,0.856371702942236,0.2768251162716992,0.8412713769310959,16.821101573696062,0.018586895367603083,False,True
covid,log,20,0.9362050105320012,0.2030973496113468,0.31072088018107824,0.8173406584475421,5.135194659365481,0.6434688257262933,False,False
vigitel,log,20,0.9754224316367774,0.8625154521464513,0.4125317743248112,0.7462620345467906,16.155745062325142,0.023730923898987684,False,True
