dataset_group,fold,dataset,corr_similarity,corr_mae,corr_frobenius
covid,1,Standard_CTGAN,0.026084959473389045,0.08489730381441346,4.150704940221373
covid,1,S0_A0_realism_only,0.3190731725342719,0.07094983823799612,4.434823268327723
covid,1,S1_A0_sep_only,0.3314007935503248,0.0704887746766398,3.8830663313639446
covid,1,S0_A1_anchor_only,0.31457998885972227,0.07046515898659601,4.3405438940518675
covid,1,S1_A1_sep_anchor,0.27129832954915994,0.07262939368769983,4.017046773181899
covid,2,Standard_CTGAN,-0.0838395526400705,0.08758225510026005,4.258361626617429
covid,2,S0_A0_realism_only,0.24200673990260324,0.0729789407796783,4.650752818381188
covid,2,S1_A0_sep_only,0.26855366971475814,0.07218975723130168,3.919293067152102
covid,2,S0_A1_anchor_only,0.22636960913657317,0.07350444454037851,4.364994842885677
covid,2,S1_A1_sep_anchor,0.2735890963973038,0.07277048756838027,3.951627198615675
covid,3,Standard_CTGAN,-0.0465051471886596,0.08648351386834131,4.27701947749477
covid,3,S0_A0_realism_only,0.3582363324900926,0.06947925750427755,4.157236610417182
covid,3,S1_A0_sep_only,0.30329937056144224,0.07364651827907161,3.813214841208551
covid,3,S0_A1_anchor_only,0.3402409957797125,0.07110094058011349,4.177395147539232
covid,3,S1_A1_sep_anchor,0.30753882521080905,0.07298100267314597,3.6807336813838494
covid,4,Standard_CTGAN,-0.03491587869878944,0.08586141497247236,4.286494510178258
covid,4,S0_A0_realism_only,0.43946108698104136,0.06701443359184349,4.165921642469806
covid,4,S1_A0_sep_only,0.3341037102358681,0.07107889048188662,3.7817801050420736
covid,4,S0_A1_anchor_only,0.4013639770600194,0.06837423285571252,4.33255296980854
covid,4,S1_A1_sep_anchor,0.3308080542400634,0.0712455475120336,3.8910090243711704
covid,5,Standard_CTGAN,-0.028680966025169837,0.08745361210656977,4.313075688053444
covid,5,S0_A0_realism_only,0.34726681662305764,0.07220488325430148,4.364349792234329
covid,5,S1_A0_sep_only,0.28222079997551247,0.07433756815069412,4.150225235195297
covid,5,S0_A1_anchor_only,0.33450292390734016,0.07229011779336013,4.477174122354452
covid,5,S1_A1_sep_anchor,0.2815126872367552,0.07398395956278062,4.236871539678465
vigitel,1,Standard_CTGAN,0.13871736209593682,0.10193380597056473,2.3664614907731285
vigitel,1,S0_A0_realism_only,0.6922961536905372,0.08048435877307251,1.8195611497449755
vigitel,1,S1_A0_sep_only,0.6716334272206615,0.0793227553574252,1.807014400233273
vigitel,1,S0_A1_anchor_only,0.6852519814127934,0.08199833425111226,1.848397491956649
vigitel,1,S1_A1_sep_anchor,0.6434598806793745,0.08095363797326258,1.8473065438938576
vigitel,2,Standard_CTGAN,0.06630045755461085,0.10391253259057039,2.4310044366286756
vigitel,2,S0_A0_realism_only,0.713271250459441,0.08666313302458126,1.8748058111685695
vigitel,2,S1_A0_sep_only,0.6137993407612452,0.08910954383384789,1.958085138024224
vigitel,2,S0_A1_anchor_only,0.6878694459391962,0.0887002742055913,1.9520184929065734
vigitel,2,S1_A1_sep_anchor,0.5619429580400703,0.09143825770422571,2.0378834396191774
vigitel,3,Standard_CTGAN,0.20339043294141163,0.09991377224188884,2.3501501205186566
vigitel,3,S0_A0_realism_only,0.8072345004828557,0.07657846541437334,1.7146588447909987
vigitel,3,S1_A0_sep_only,0.6741146382297061,0.08304955972212287,1.8545873426486463
vigitel,3,S0_A1_anchor_only,0.7525898734735998,0.08127772130529562,1.844345102669926
vigitel,3,S1_A1_sep_anchor,0.6480953554437029,0.08543380456745905,1.9093752596639626
vigitel,4,Standard_CTGAN,0.13751255510845026,0.10121006304179107,2.377941361604799
vigitel,4,S0_A0_realism_only,0.709162444384474,0.08307693200397746,1.795726592404299
vigitel,4,S1_A0_sep_only,0.6870828803091982,0.08341883534098497,1.8294606487186629
vigitel,4,S0_A1_anchor_only,0.7022875882114217,0.08553665149405493,1.867509261305582
vigitel,4,S1_A1_sep_anchor,0.6731448425735722,0.08370174254185568,1.8584681117159216
vigitel,5,Standard_CTGAN,-0.029472041644671418,0.1069840381791624,2.4753138346984263
vigitel,5,S0_A0_realism_only,0.7224249684428774,0.0866673743921145,1.8663040793290553
vigitel,5,S1_A0_sep_only,0.6392754608624608,0.08925257941363315,1.9354762119962405
vigitel,5,S0_A1_anchor_only,0.7069644352080134,0.08832197566067294,1.9145915122533803
vigitel,5,S1_A1_sep_anchor,0.6162713096955424,0.09097793517531262,1.9730149645103012
