dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
COVID-19,Class weighting,CatBoost,15,0.3412715857022331,0.06853715286217867,0.5360752926703864,0.06764428619016064,0.32864082592198673,0.09764507627258547,0.36446078431372547,0.11251155631679713,0.5747385620915033,0.06021651856873526,0.23546250376648806,0.02540305902016888
COVID-19,Class weighting,LogisticRegression,15,0.3967181965286619,0.06120685039924832,0.5354159447950836,0.047838345847508554,0.3766185750301307,0.07023173851110949,0.502450980392157,0.1180130424326687,0.6127859477124181,0.05646509398077877,0.2496310217030975,0.022035714203413822
COVID-19,Class weighting,RandomForest,15,0.3165420938041035,0.05409453138540569,0.5282201562634147,0.042071262412908705,0.29673172611511106,0.061639749318297486,0.3049019607843137,0.08396837453605802,0.5828120915032678,0.04919745265491455,0.2126310760206828,0.01039123933248698
COVID-19,Random oversampling,CatBoost,15,0.3401472901512535,0.06624978453043018,0.5389542037392637,0.08774764472700461,0.3190802957273512,0.12220274232909932,0.3286764705882353,0.12092339159034661,0.5788937908496732,0.06184830697960594,0.22969356198749225,0.024486044073714554
COVID-19,Random oversampling,LogisticRegression,15,0.3985284955558075,0.06943206831569297,0.5388141459570756,0.04028664471677294,0.38095922253753195,0.05733074165984569,0.5066176470588235,0.10777229019951853,0.6250245098039215,0.06004750969918996,0.24588229747725382,0.02172273375178424
COVID-19,Random oversampling,RandomForest,15,0.3328024689745415,0.05365847107207185,0.5283410157994308,0.0452048676316723,0.30855069237445315,0.05740862709788997,0.3294117647058823,0.07378893276847302,0.5907516339869281,0.04603176244085916,0.2149578823995097,0.012186381620006653
COVID-19,Random undersampling,CatBoost,15,0.3317306627479875,0.06339685411663515,0.5123375987435322,0.05928637177346403,0.3940049775500254,0.06758198233647682,0.5975490196078431,0.11040668858436717,0.5845833333333335,0.0843219218298007,0.3010645939585669,0.04448953394397003
COVID-19,Random undersampling,LogisticRegression,15,0.37798234406482806,0.062298591522670095,0.505936664034828,0.03843735454932174,0.3688163456377308,0.04210777674433183,0.5352941176470588,0.071893568009296,0.5998676470588237,0.052257440742979236,0.28705538452101464,0.03151862017265743
COVID-19,Random undersampling,RandomForest,15,0.30193954304720716,0.03856261750268863,0.49440959409052676,0.05380656280671454,0.37300671382701633,0.07388620816330267,0.5727941176470588,0.13954823037605132,0.5625898692810457,0.05674301502658235,0.25015172230329086,0.01122984272296774
COVID-19,Real only,CatBoost,15,0.3559010342778554,0.05684828801569944,0.5144515668278904,0.05905497379808209,0.20571125063878679,0.10624415823760357,0.15588235294117644,0.09103362013595222,0.5961013071895424,0.06159475868065333,0.20275693278402185,0.01364191540491816
