dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
COVID-19,0,0,42,42,Real only,267,67,0.250936329588015,0.2388059701492537,LogisticRegression,0.5013709361535448,0.1739130434782608,0.2857142857142857,0.125,0.5134803921568627,0.339273879426239,0.5894607843137255,0.2005619571623335,-0.8200207862224291,0.1997273897982575
COVID-19,0,0,42,42,Real only,267,67,0.250936329588015,0.2388059701492537,RandomForest,0.4322033898305085,0.0,0.0,0.0,0.5,0.3328630311583956,0.633578431372549,0.1781578497565502,-0.2309184709216995,0.7056268994759853
COVID-19,0,0,42,42,Real only,267,67,0.250936329588015,0.2388059701492537,CatBoost,0.5298245614035088,0.2,0.5,0.125,0.5428921568627452,0.3798752959831956,0.6875,0.1752762190992218,-0.1266063055866373,0.6827936306859154
COVID-19,0,0,42,42,Class weighting,267,67,0.250936329588015,0.2388059701492537,LogisticRegression,0.5275641025641026,0.2666666666666666,0.2857142857142857,0.25,0.5269607843137255,0.3538165903675899,0.6066176470588236,0.2302077060908092,-1.0347978940762732,0.1863752867508181
COVID-19,0,0,42,42,Class weighting,267,67,0.250936329588015,0.2388059701492537,RandomForest,0.5593631014191762,0.2962962962962963,0.3636363636363636,0.25,0.5563725490196079,0.3603563274186372,0.6715686274509804,0.1869214978624665,-0.6211549667314559,1.0009927986545006
COVID-19,0,0,42,42,Class weighting,267,67,0.250936329588015,0.2388059701492537,CatBoost,0.6013153773880363,0.3870967741935484,0.4,0.375,0.5992647058823529,0.403623285107331,0.7034313725490196,0.1800454223005911,-0.6356994315546167,0.6335214172515156
COVID-19,0,0,42,42,Random oversampling,400,67,0.5,0.2388059701492537,LogisticRegression,0.5778577857785778,0.3636363636363636,0.3529411764705882,0.375,0.579656862745098,0.3730034967990907,0.6299019607843138,0.2276100014241009,-1.0247079273914448,0.1991761460486819
COVID-19,0,0,42,42,Random oversampling,400,67,0.5,0.2388059701492537,RandomForest,0.6134615384615385,0.4,0.4285714285714285,0.375,0.6090686274509804,0.4200787562556193,0.6727941176470589,0.1897822105951863,-0.7399728286510994,0.8193067260794636
COVID-19,0,0,42,42,Random oversampling,400,67,0.5,0.2388059701492537,CatBoost,0.6699507389162561,0.4827586206896552,0.5384615384615384,0.4375,0.6599264705882353,0.406321448587141,0.6727941176470589,0.1757337036886322,-0.5855540202232176,0.5118890884009706
COVID-19,0,0,42,42,Random undersampling,134,67,0.5,0.2388059701492537,LogisticRegression,0.571939688218758,0.4186046511627907,0.3333333333333333,0.5625,0.6047794117647058,0.2935271807969867,0.5931372549019608,0.2659603830228964,-1.1270114816736712,0.1758081066953777
COVID-19,0,0,42,42,Random undersampling,134,67,0.5,0.2388059701492537,RandomForest,0.5144927536231884,0.3333333333333333,0.2692307692307692,0.4375,0.5324754901960784,0.2861214989788313,0.5906862745098039,0.2337495072642049,-1.0919195905936294,0.5928068954734793
COVID-19,0,0,42,42,Random undersampling,134,67,0.5,0.2388059701492537,CatBoost,0.5840755735492578,0.4102564102564102,0.3478260869565217,0.5,0.6029411764705883,0.3616095124655545,0.7095588235294117,0.2273731889419629,-1.1017875911344337,0.361239700573805
COVID-19,0,0,42,42,SMOTE,400,67,0.5,0.2388059701492537,LogisticRegression,0.4836697247706422,0.16,0.2222222222222222,0.125,0.4938725490196078,0.3781449460474116,0.5514705882352942,0.2080304553577042,-1.017473916274679,0.0891866699449873
COVID-19,0,0,42,42,SMOTE,400,67,0.5,0.2388059701492537,RandomForest,0.5593631014191762,0.2962962962962963,0.3636363636363636,0.25,0.5563725490196079,0.3594867450593527,0.6041666666666666,0.1960096736957432,-0.8268790916952792,0.5435495229619058
COVID-19,0,0,42,42,SMOTE,400,67,0.5,0.2388059701492537,CatBoost,0.5593631014191762,0.2962962962962963,0.3636363636363636,0.25,0.5563725490196079,0.391244435872435,0.6838235294117647,0.1798343194979154,-0.655439461780364,0.4771527899673428
COVID-19,0,0,42,42,Standard CTGAN,400,67,0.5,0.2388059701492537,LogisticRegression,0.4974497449744974,0.2424242424242424,0.2352941176470588,0.25,0.4975490196078431,0.3702686709946274,0.5759803921568627,0.2343021039995288,-1.0003903932893556,0.2023704717447682
COVID-19,0,0,42,42,Standard CTGAN,400,67,0.5,0.2388059701492537,RandomForest,0.4974497449744974,0.2424242424242424,0.2352941176470588,0.25,0.4975490196078431,0.3044320680638092,0.5882352941176471,0.215000235410905,-0.9698869755335447,0.3541012562269355
COVID-19,0,0,42,42,Standard CTGAN,400,67,0.5,0.2388059701492537,CatBoost,0.5778577857785778,0.3636363636363636,0.3529411764705882,0.375,0.579656862745098,0.3375060412054897,0.6568627450980393,0.2075537704452079,-0.8585733976344604,0.4193899186617494
COVID-19,0,0,42,42,SepAware CTGAN,400,67,0.5,0.2388059701492537,LogisticRegression,0.5275641025641026,0.2666666666666666,0.2857142857142857,0.25,0.5269607843137255,0.3306615028041262,0.5588235294117647,0.2364687869393927,-0.9991068540719096,0.1126557665996231
COVID-19,0,0,42,42,SepAware CTGAN,400,67,0.5,0.2388059701492537,RandomForest,0.5705128205128205,0.3333333333333333,0.3571428571428571,0.3125,0.5680147058823529,0.3537324499787105,0.6213235294117647,0.2005866655691108,-0.8669110255722378,0.4514296052465966
